batch,candidate_rank,density_group,domain,growth_stage,image_id,target_index,uncertainty,reliability,iou,localization_error,occlusion_ratio,selection_rank
949,11,50-60,KSU_1,Post-Flowering,950,1,0.32728493213653564,0.8729725480079651,0.7649477124214172,0.23505228757858276,0.003401360474526882,32
949,11,50-60,KSU_1,Post-Flowering,950,2,0.3677530884742737,0.857265830039978,0.4997505843639374,0.5002494156360626,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,3,0.38381725549697876,0.8510309457778931,0.36521095037460327,0.6347890496253967,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,4,0.38866302371025085,0.8491501808166504,0.4645968973636627,0.5354031026363373,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,5,0.3806035816669464,0.8522782325744629,0.2868970036506653,0.7131029963493347,0.695652186870575,32
949,11,50-60,KSU_1,Post-Flowering,950,6,0.42095890641212463,0.8366153240203857,0.612474799156189,0.38752520084381104,0.03484320640563965,32
949,11,50-60,KSU_1,Post-Flowering,950,7,0.417336642742157,0.8380212187767029,0.7466349005699158,0.25336509943008423,0.30169492959976196,32
949,11,50-60,KSU_1,Post-Flowering,950,8,0.3617194592952728,0.8596076369285583,0.6927878856658936,0.30721211433410645,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,9,0.3662030100822449,0.8578674793243408,0.7083560824394226,0.2916439175605774,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,10,0.36433157324790955,0.8585938215255737,0.8705792427062988,0.12942075729370117,0.2657342553138733,32
949,11,50-60,KSU_1,Post-Flowering,950,11,0.2708406150341034,0.894879937171936,0.8688867092132568,0.13111329078674316,0.1827801764011383,32
949,11,50-60,KSU_1,Post-Flowering,950,12,0.3697916865348816,0.8564746379852295,0.6869258284568787,0.31307417154312134,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,13,0.36940768361091614,0.856623649597168,0.6529967784881592,0.3470032215118408,0.024390242993831635,32
949,11,50-60,KSU_1,Post-Flowering,950,14,0.34116825461387634,0.8675840497016907,0.6891588568687439,0.3108411431312561,0.01071203500032425,32
949,11,50-60,KSU_1,Post-Flowering,950,15,0.3766818046569824,0.853800356388092,0.6570058465003967,0.34299415349960327,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,16,0.32467031478881836,0.8739873170852661,0.6382450461387634,0.3617549538612366,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,17,0.37958839535713196,0.852672278881073,0.6432965993881226,0.35670340061187744,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,18,0.2967201769351959,0.8848354816436768,0.9070953130722046,0.09290468692779541,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,19,0.3386238217353821,0.8685716390609741,0.5748868584632874,0.42511314153671265,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,20,0.33414795994758606,0.8703088760375977,0.8079142570495605,0.19208574295043945,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,21,0.33850276470184326,0.8686186075210571,0.6873185634613037,0.3126814365386963,0.0,32
