image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group,selection_rank,selection_phase,selection_stratum,alpha_scale,speed_scale,dynamic_alpha,dynamic_speed,alpha_mapping,input_high_frequency_ratio,output_high_frequency_ratio,high_frequency_ratio_change,aswb_relative_change,msia_input_relative_change,msia_output_relative_change,decoder_logits_relative_change,decoder_boxes_relative_change,normal_mean_nodes_per_hyperedge,bypass_mean_nodes_per_hyperedge,normal_degree_std,bypass_degree_std,topology_jaccard,topology_change_fraction
1271,ef23f37742204651ceacc809f7fe62d4d2c0521ad2c8018e772474429b52ae59.png,33,30-40,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.10372333852144257,Medium (10-30%),1,marginal_group_coverage,KSU_4 | 30-40 | Ripening,0.4630325138568878,0.4920453727245331,0.13054512441158295,1.1444318294525146,inverse,0.1680624634027481,0.0019347453489899635,-0.16612771805375814,1.2635811567306519,0.4546821713447571,0.28064537048339844,0.45353230834007263,0.6374922394752502,136.81625,81.935,159.5978970285558,107.64349504266387,0.5178936960066614,0.04342421875
853,a3bd5347349a3b694b5c1c0ab968321d2158ff676855722fa84cda3f00142dcc.png,33,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),16,marginal_group_coverage,CIMMYT_2 | 30-40 | Post-Flowering,0.45893266797065735,0.49047186970710754,0.13116011023521423,1.1433303356170654,inverse,0.15725809335708618,0.0018972380785271525,-0.15536085527855903,1.2753283977508545,0.6242720484733582,0.3670656383037567,0.49060899019241333,0.7621974945068359,503.23625,354.68375,365.8375943447277,305.8869255720772,0.624925422605237,0.12376875
650,7f5cf836f926582ff0ae00f4adf0435c61899e19db50afbbdaeddb0fa39fbaa3.png,100,>100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.42506642767439495,High (>30%),17,marginal_group_coverage,UQ_9 | >100 | Filling-Ripening,0.45928242802619934,0.4843049943447113,0.1311076432466507,1.1390135288238525,inverse,0.1626744270324707,0.0027339861262589693,-0.15994044090621173,1.2933369874954224,0.4312364161014557,0.27923882007598877,0.7100206613540649,0.6959837675094604,57.49875,43.77125,84.76559590091667,66.73941057154686,0.5451043216233742,0.018634375
1057,c913c2d5732269bda42e314c653e39ec7060a398e09669368536740210eab588.png,85,80-100,authoritative_subset_annotations,UQ_7,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0862843604029386,Low (<10%),18,marginal_group_coverage,UQ_7 | 80-100 | Ripening,0.4580703675746918,0.48362159729003906,0.13128943741321564,1.1385351419448853,inverse,0.15887756645679474,0.0021268746349960566,-0.15675069182179868,1.2816162109375,0.46277159452438354,0.2817627787590027,0.5940213203430176,0.7095659971237183,238.6275,203.02625,251.70522440694393,225.00863996952984,0.7132888835010305,0.04619296875
3,00c381a39bd346465c707995a1ff7c584bff11a9d0044d1cefbc20e6e6c59827.png,85,80-100,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.3580932744521821,High (>30%),19,joint_stratum_round_robin,Ukyoto_1 | 80-100 | Post-Flowering,0.4504950940608978,0.47822150588035583,0.13242574036121368,1.1347551345825195,inverse,0.13876591622829437,0.002791980979964137,-0.13597393524833024,1.2748810052871704,0.39032354950904846,0.27287206053733826,0.47003719210624695,0.5843567848205566,125.86875,111.995,150.99705385681372,142.9314214055118,0.6616253787514954,0.03027421875
296,34b7c6020b04a588a0da2347d35cb8e4c901a26961444731a663641045491fd8.png,31,30-40,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.05771091933584834,Low (<10%),20,joint_stratum_round_robin,KSU_2 | 30-40 | Post-Flowering,0.4674053490161896,0.49389180541038513,0.12988920509815216,1.1457242965698242,inverse,0.16915445029735565,0.0018018458504229784,-0.16735260444693267,1.2955337762832642,0.49280595779418945,0.2926311194896698,0.3675319254398346,0.7917711734771729,286.198125,178.82375,253.50947244922503,188.1494889335007,0.572889647110057,0.078921484375
977,bb8161ed883e05ea4c879668c02e0dafbfb72c75fcec44cd2f33fa58487caf6c.png,39,30-40,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.008194549910446797,Low (<10%),21,joint_stratum_round_robin,UQ_11 | 30-40 | Post-Flowering,0.4638696312904358,0.48592573404312134,0.1304195523262024,1.1401480436325073,inverse,0.13106630742549896,0.002771355677396059,-0.1282949517481029,1.2774932384490967,0.6036050319671631,0.42566147446632385,0.5910676717758179,0.7242649793624878,572.09875,440.29625,380.8154034416643,325.8002240421843,0.6279031437868954,0.1446296875
809,9a65adae31802d7d91cc498b5fd2659080a7da9110aefe13bf822818473f8c03.png,64,60-70,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.17628626429131433,Medium (10-30%),22,joint_stratum_round_robin,KSU_1 | 60-70 | Post-Flowering,0.45849180221557617,0.4897443652153015,0.13122622668743134,1.1428210735321045,inverse,0.15903517603874207,0.0016960373613983393,-0.15733913867734373,1.2875086069107056,0.517528235912323,0.31791001558303833,0.583177387714386,0.7084202170372009,174.6425,114.7375,190.81380897028916,137.9949495226184,0.5344601312388149,0.054871875
538,68e0ebae1ccb658855395b7314e654204c95b00e90a1c3f6531c93137bf34029.png,50,50-60,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.09375376132409925,Low (<10%),23,joint_stratum_round_robin,NAU_3 | 50-60 | Filling,0.462516188621521,0.49043577909469604,0.13062258064746857,1.1433050632476807,inverse,0.1714339703321457,0.002052469179034233,-0.16938150115311146,1.3003700971603394,0.4043034613132477,0.2743818163871765,0.39747440814971924,0.7116933465003967,151.125,129.67375,183.3720620078206,164.27269192089565,0.6268521603105401,0.04025390625
449,5661a9fa96878dce3615c40405f8bec8d9de3bf66da76b5dbe869c2d5e1cc343.png,20,20-30,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.03534181091204338,Low (<10%),24,joint_stratum_round_robin,Terraref_1 | 20-30 | Ripening,0.45887261629104614,0.48602738976478577,0.13116911053657532,1.1402192115783691,inverse,0.1270655393600464,0.0016050874255597591,-0.12546045193448663,1.285332202911377,0.5982577204704285,0.3799645006656647,0.5869235992431641,0.8314257860183716,105.07875,67.915,136.0476113294074,95.55688894580024,0.47594569518060725,0.03838984375
270,3005d16e759a05db093de79140b12b3e0b59d46c39f10ceb9eadbc04d1e0f1f6.png,29,20-30,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.1018621098057551,Medium (10-30%),25,joint_stratum_round_robin,KSU_3 | 20-30 | Filling,0.45820119976997375,0.4911136329174042,0.13126982748508453,1.1437795162200928,inverse,0.13874056935310364,0.0017947996966540813,-0.13694576965644956,1.249211311340332,0.5889753103256226,0.34155017137527466,0.4981934428215027,0.7183253765106201,179.51625,101.74,184.20330747827927,120.10928835856117,0.4733171817705605,0.06283984375
