variant,modules,epoch,seed,AP,AP75
Baseline,Baseline,35,42,20.792126975401054,13.79874678423233
Baseline,Baseline,36,42,20.783601271433014,13.667638856164169
Baseline,Baseline,37,42,20.804293704661138,13.65725588918673
Baseline,Baseline,38,42,20.86211442347097,13.565567071813401
Baseline,Baseline,39,42,20.940500371279718,13.517838381608652
Baseline,Baseline,40,42,20.974488627718987,13.392306389154987
Baseline,Baseline,41,42,21.03400369425925,13.378594060067242
Baseline,Baseline,42,42,21.102397639872404,13.305535189759194
Baseline,Baseline,43,42,21.146794778598448,13.216340555127884
Baseline,Baseline,44,42,21.216694450446465,13.160426939396878
Baseline,Baseline,45,42,21.2240073528459,13.137747962524793
Baseline,Baseline,46,42,21.41916626710172,13.151516295255385
Baseline,Baseline,47,42,21.52624686312135,13.160478078370385
Baseline,Baseline,48,42,21.570394823060642,13.147374911058407
Baseline,Baseline,49,42,21.56974129364664,13.08862805121009
Baseline,Baseline,50,42,21.60771594497707,13.103430730239301
Baseline,Baseline,51,42,21.650546671968076,13.081433737964835
Baseline,Baseline,52,42,21.7415402878991,13.132196085968168
Baseline,Baseline,53,42,21.847237609983576,13.168474769988487
Baseline,Baseline,54,42,21.889345784167254,13.17997099550131
Baseline,Baseline,55,42,21.96267940511258,13.176664872251912
Baseline,Baseline,56,42,21.999358266196776,13.164727373363599
Baseline,Baseline,57,42,22.00194916938451,13.106693859080865
Baseline,Baseline,58,42,22.009961965006664,13.121593417442693
Baseline,Baseline,59,42,22.023588778855785,13.090296253999679
Baseline,Baseline,60,42,22.022764593503528,13.087624366343444
Baseline,Baseline,61,42,22.066603114429725,13.16049569602745
Baseline,Baseline,62,42,22.123194776283896,13.174337962870325
Baseline,Baseline,63,42,22.095558067571755,13.112683092034572
Baseline,Baseline,64,42,22.099147202596384,13.052386985654497
Baseline,Baseline,65,42,22.09824785094354,13.049459491009365
Baseline,Baseline,66,42,22.134188155800707,13.041507113274436
Baseline,Baseline,67,42,22.155511529420444,13.091858763889483
Baseline,Baseline,68,42,22.171019441372213,13.075642035778765
Baseline,Baseline,69,42,22.16113273007463,13.062376260679951
Baseline,Baseline,70,42,22.198479995007073,13.102266245650156
Baseline,Baseline,71,42,22.17845978985045,13.05996214093425
ASWB,ASWB,0,42,1.266653614631325,0.6689717706412177
ASWB,ASWB,1,42,2.883767232502249,1.631853369037557
ASWB,ASWB,2,42,7.134190062118498,4.3692763838597575
ASWB,ASWB,3,42,9.086842733538864,6.189543700024737
ASWB,ASWB,4,42,13.051395644352382,9.345215897020932
ASWB,ASWB,5,42,14.596799860367007,10.34526273267882
ASWB,ASWB,6,42,16.09729388070916,11.11453820135722
ASWB,ASWB,7,42,16.569710242903497,11.655856210663435
ASWB,ASWB,8,42,18.03336251476724,12.930788788876868
ASWB,ASWB,9,42,18.078086040842475,12.756047729792156
ASWB,ASWB,10,42,18.49218671099733,12.936351053365152
ASWB,ASWB,11,42,19.74316242548872,14.0725652908223
ASWB,ASWB,12,42,19.265681922904008,13.298834378202287
ASWB,ASWB,13,42,19.223804406440266,13.14086122668231
ASWB,ASWB,14,42,19.539770501808157,13.471562932367547
ASWB,ASWB,15,42,19.667779256155868,13.511404655792505
ASWB,ASWB,16,42,19.797959501920445,13.566947168051769
ASWB,ASWB,17,42,19.831944492149013,13.48676349254104
ASWB,ASWB,18,42,19.85430558886391,13.591235271728664
ASWB,ASWB,19,42,19.77986658031036,13.419854018523381
ASWB,ASWB,20,42,19.74421109198306,13.325115526549796
ASWB,ASWB,21,42,19.875403318051955,13.387066563637879
ASWB,ASWB,22,42,19.87809620312515,13.406645630026023
ASWB,ASWB,23,42,19.953598483753947,13.451577480529142
ASWB,ASWB,24,42,19.98031095295119,13.474611844396703
ASWB,ASWB,25,42,20.19597831293884,13.567663118903095
ASWB,ASWB,26,42,20.3300326267574,13.808166398197717
ASWB,ASWB,27,42,20.4243336661717,13.86343992913591
ASWB,ASWB,28,42,20.477442406755312,13.930587545352651
ASWB,ASWB,29,42,20.54241032502819,13.953335396948836
ASWB,ASWB,30,42,20.535598908217978,13.869841614756801
ASWB,ASWB,31,42,20.653717216689838,13.920298623532613
ASWB,ASWB,32,42,20.828838765048612,14.033384618480879
